ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	COGIDS	ALIGNMENT
1	Proto	abejas, panal	*mumu	*mumu	m u m u		156	66	1	m u m - - u -
2	PI	abejas, panal	mumuba	mumuba	m u m u b a		156	66	1	m u m u b a -
3	Tn	abejas, panal	mɨmívai	mɨmívai	m ɨ m í/i v ai		156	66	1	m ɨ m í/i v ai -
4	Ts	abejas, panal	mɨmɨí	mɨmɨí	m ɨ m ɨ í/i		156	66	1	m ɨ m ɨ - í/i -
5	O	abejas, panal	mumugo	mumugo	m u m u g o		156	66	1	m u m u g o -
6	En	abejas, panal	mumúgo	mumúgo	m u m ú/u g o		156	66	1	m u m ú/u g o -
7	Es	abejas, panal	mumukut	mumukut	m u m u k u t		156	66	1	m u m u k u t
8	Y	abejas, panal	múmu-	múmu-	m ú/u m u		156	66	1	m ú/u m - - u -
9	MA	abejas, panal	múmmu-	múmmu-	m ú/u mm/mː u		156	66	1	m ú/u mm/mː - - u -
10	Vb	abejas, panal	momohá	momohá	m o m o h á/a		156	66	1	m o m o h á/a -
11	Va	abejas, panal	momohá	momohá	m o m o h á/a		156	66	1	m o m o h á/a -
12	TA	abejas, panal	umugá	umugá	u m u g á/a		156	66	1	- u m u g á/a -
13	Proto	abofetear	*cona	*cona	c o n a		39	311	14	c o - n a -
14	Proto	abofetear	con-i	con-i	c o n + i		39	311	14 15	c o - n - - + i
15	P	abofetear	shoni-	shoni-	sh/ʃ o n i		39	311	14	sh/ʃ o - n i -
16	PI	abofetear	soni-	soni-	s o n i		39	311	14	s o - n i -
17	En	abofetear	cóna-	cóna-	c ó/o n a		39	311	14	c ó/o - n a -
18	Y	abofetear	-cona	-cona	c o n a		39	311	14	c o - n a -
19	MA	abofetear	cónna	cónna	c ó/o nn/nː a		39	311	14	c ó/o - nn/nː a -
20	Va	abofetear	co'na-	co'na-	c o ʔ n a		39	311	14	c o ʔ n a -
21	Va	abofetear	co'ni-	co'ni-	c o ʔ n i		39	311	14	c o ʔ n i -
22	TA	abofetear	co'ná	co'ná	c o ʔ n á/a		39	311	14	c o ʔ n á/a -
23	TA	abofetear	co'ni-.	co'ni-.	c o ʔ n i +		39	311	14	c o ʔ n i +
24	Proto	abrir ojos	*pusu	*pusu	p u s u		223	143	27	p u s u -
25	Proto	abrir ojos	pus-a	pus-a	p u s + a		223	143	27 29	p u s - - + a
26	P	abrir ojos	wuha-n	wuha-n	w u h a + n		223	143	27 28	w u h a - + n
27	O	abrir ojos	bussa	bussa	b u ss/sː a		223	143	27	b u ss/sː a -
28	En	abrir ojos	búsu-	búsu-	b ú/u s u		223	143	27	b ú/u s u -
29	Y	abrir ojos	búsa	búsa	b ú/u s a		223	143	27	b ú/u s a -
30	MA	abrir ojos	bússa	bússa	b ú/u ss/sː a		223	143	27	b ú/u ss/sː a -
31	V	abrir ojos	pusa-	pusa-	p u s a		223	143	27	p u s a -
32	TA	abrir ojos	busú	busú	b u s ú/u		223	143	27	b u s ú/u -
33	TA	abrir ojos	busi-.	busi-.	b u s i +		223	143	27	b u s i +
34	Proto	abuela materna	*su	*su	s u		260	186	40	s u -
35	TEP	abuela materna	hú'ú-ri	hú'ú-ri	h ú/u ʔ ú/u + r i		260	186	42 43	h ú/u ʔ ú/u + r i
36	O	abuela materna	su	su	s u		260	186	40	s u -
37	Es	abuela materna	su	su	s u		260	186	40	s u -
38	Y	abuela materna	á-su	á-su	á/a + s u		260	186	41 40	á/a + s u -
39	Va	abuela materna	su'-sú	su'-sú	s u ʔ + s ú/u		260	186	42 40	s u ʔ - + s ú/u -
40	TA	abuela materna	u-sú	u-sú	u + s ú/u		260	186	41 40	u + s ú/u -
41	TA	abuela materna	u'-sú	u'-sú	u ʔ + s ú/u		260	186	42 40	- u ʔ - + s ú/u -
42	TR	abuela materna	suú	suú	s u u		260	186	40	s u u
43	Proto	abuelo materno	*kwa	*kwa	kʷ a		112	16	56	kʷ a
44	TEP	abuelo materno	báaba	báaba	b á/a a b a		112	16	55	b á/a - a b a -
45	O	abuelo materno	paogwat	paogwat	p a o gʷ a t		112	16	55	p a - o gʷ a t
46	E	abuelo materno	pá	pá	p á/a		112	16	55	- - - - p á/a -
47	Y	abuelo materno	ápa	ápa	á/a p a		112	16	55	- á/a - - p a -
48	MA	abuelo materno	áppa	áppa	á/a pp/pː a		112	16	55	- á/a - - pp/pː a -
49	Vb	abuelo materno	páhpa	páhpa	p á/a h p a		112	16	55	p á/a h - p a -
50	Va	abuelo materno	papá	papá	p a p á/a		112	16	55	p a - - p á/a -
51	TA	abuelo materno	apá.	apá.	a p á/a		112	16	55	- a - - p á/a -
52	Proto	acontecer	*yɨk	*yɨk	y/j ɨ k		356	296	65	y/j ɨ k -
53	O	acontecer	dek	dek	d e k		356	296	65	d e k -
54	En	acontecer	déke-	déke-	d é/e k e		356	296	65	d é/e k e
55	Va	acontecer	egi-	egi-	e g i		356	296	65	- e g i
56	TA	acontecer	ikí.	ikí.	i k í/i		356	296	65	- i k í/i
57	Proto	acostarse	*po	*po	p o		208	126	71	p o - -
58	Proto	acostarse	po-i	po-i	p o + i		208	126	71 73	p o - - + i
59	P	acostarse	wo'o	wo'o	w o o		208	126	71	w o - o
60	PI	acostarse	voho	voho	v o h o		208	126	71	v o h o
61	O	acostarse	bo	bo	b o		208	126	71	b o - -
62	En	acostarse	boo-	boo-	b oː		208	126	71	b oː - -
63	Y	acostarse	bó'o	bó'o	b ó/o o		208	126	71	b ó/o - o
64	MA	acostarse	bó'o-ye	bó'o-ye	b ó/o ʔ o + y/j e		208	126	71 72	b ó/o ʔ o + y/j e
65	Vb	acostarse	po'í	po'í	p o ʔ í/i		208	126	71	p o ʔ í/i
66	Va	acostarse	po'í	po'í	p o ʔ í/i		208	126	71	p o ʔ í/i
67	TA	acostarse	bo'í	bo'í	b o ʔ í/i		208	126	71	b o ʔ í/i
68	Proto	adobe	*sami	*sami	s a m i		230	152	85	s a - - m i
69	PI	adobe	sami	sami	s a m i		230	152	85	s a - - m i
70	O	adobe	sami	sami	s a m i		230	152	85	s a - - m i
71	En	adobe	saamí	saamí	s a a m í/i		230	152	85	s a - a m í/i
72	Y	adobe	saámi	saámi	s a á/a m i		230	152	85	s a - á/a m i
73	MA	adobe	saámi	saámi	s a á/a m i		230	152	85	s a - á/a m i
74	Vb	adobe	sa'amí	sa'amí	s a ʔ a m í/i		230	152	85	s a ʔ a m í/i
75	Va	adobe	samí	samí	s a m í/i		230	152	85	s a - - m í/i
76	TA	adobe	samí	samí	s a m í/i		230	152	85	s a - - m í/i
77	TR	adobe	camé.	camé.	c a m é/e		230	152	85	c a - - m é/e
78	Proto	afilado	*wicu	*wicu	w i c u		333	270	96	w i c u
79	O	afilado	gwicu	gwicu	gʷ i c u		333	270	96	gʷ i c u
80	En	afilado	wicú	wicú	w i c ú/u		333	270	96	w i c ú/u
81	TA	afilado	wicu-tá	wicu-tá	w i c u + t á/a		333	270	96 97	w i c u + t á/a
82	Proto	aflojarse	*hota	*hota	h o t a		63	338	102	h o t a
83	O	aflojarse	hotta-	hotta-	h o tt/tː a		63	338	102	h o tt/tː a
84	En	aflojarse	hóta-	hóta-	h ó/o t a		63	338	102	h ó/o t a
85	Es	aflojarse	ota-	ota-	o t a		63	338	102	- o t a
86	TA	aflojarse	otá.	otá.	o t á/a		63	338	102	- o t á/a
87	Proto	agacharse	cuku	cuku	c u k u		46	319	109	c u - k u
88	O	agacharse	cuk	cuk	c u k		46	319	109	c u - k -
89	En	agacharse	cú-cuku-	cú-cuku-	c ú/u + c u k u		46	319	108 109	c ú/u + c u - k u
90	Es	agacharse	cuko-	cuko-	c u k o		46	319	109	c u - k o
91	Va	agacharse	cuhkú	cuhkú	c u h k ú/u		46	319	109	c u h k ú/u
92	TA	agacharse	cukú.	cukú.	c u k ú/u		46	319	109	c u - k ú/u
93	Proto	agotar	*suw-a	*suw-a	s u w + a		266bis	193	116 117	s u w - + a
94	En	agotar	-sua-	-sua-	s u/w a		266bis	193	116	s - u/w a
95	Y	agotar	sú'a	sú'a	s ú/u ʔ a		266bis	193	116	s ú/u ʔ a
96	MA	agotar	súgwa	súgwa	s ú/u gʷ a		266bis	193	116	s ú/u gʷ a
97	TA	agotar	suwá	suwá	s u w á/a		266bis	193	116	s u w á/a
98	TR	agotar	sua-kám	sua-kám	s u/w a + k á/a m		266bis	193	116 118	s - u/w a + k á/a m
99	Proto	agotarse	*suwi	*suwi	s u w i		266	192	125	s u w i -
100	TEP	agotarse	hugí	hugí	h u g í/i		266	192	127	h u g í/i
101	MA	agotarse	suú-me	suú-me	s u ú/u + m e		266	192	125 126	s u - ú/u - + m e
102	TA	agotarse	suwí	suwí	s u w í/i		266	192	125	s u w í/i -
103	TR	agotarse	suwi-.	suwi-.	s u w i +		266	192	125	s u w i +
104	Proto	agrio	*coko	*coko	c o k o		38	310	132	c o - - - k o
105	PI	agrio	suhko	suhko	s u h k o		38	310	132	s u h - - k o
106	En	agrio	cokó-	cokó-	c o k ó/o		38	310	132	c o - - - k ó/o
107	Es	agrio	soko	soko	s o k o		38	310	132	s o - - - k o
