ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	COGIDS	ALIGNMENT
108	Y	agrio	có'oko	có'oko	c ó/o ʔ o k o		38	310	132	c ó/o ʔ o - k o
109	MA	agrio	có'oko	có'oko	c ó/o ʔ o k o		38	310	132	c ó/o ʔ o - k o
110	Vb	agrio	có'ohkó	có'ohkó	c ó/o ʔ o h k ó/o		38	310	132	c ó/o ʔ o h k ó/o
111	Va	agrio	co'kó-	co'kó-	c o ʔ k ó/o		38	310	132	c o ʔ - - k ó/o
112	TA	agrio	co'kó.	co'kó.	c o ʔ k ó/o		38	310	132	c o ʔ - - k ó/o
113	Proto	agua	*pa	*pa	p a		180	94	142	p a - - - - -
114	TEP	agua	váa-	váa-	v á/a a		180	94	142	v á/a - - - a -
115	O	agua	va-	va-	v a		180	94	142	v a - - - - -
116	En	agua	bá-	bá-	b á/a		180	94	142	b á/a - - - - -
117	Y	agua	baá'a-	baá'a-	b a á/a ʔ a		180	94	142	b a á/a ʔ - a -
118	MA	agua	baá'a-	baá'a-	b a á/a ʔ a		180	94	142	b a á/a ʔ - a -
119	Va	agua	pa'wí	pa'wí	p a ʔ w í/i		180	94	142	p a - ʔ w í/i -
120	TA	agua	ba'wí	ba'wí	b a ʔ w í/i		180	94	142	b a - ʔ w í/i -
121	TR	agua	ba-	ba-	b a		180	94	142	b a - - - - -
122	TR	agua	va-	va-	v a		180	94	142	v a - - - - -
123	TR	agua	wa-.	wa-.	w a +		180	94	142	w a - - - - +
124	Proto	aguililla	*kwasa	*kwasa	kʷ a s a		115	20	154	kʷ a - - - s a
125	Vb	aguililla	kuu'usá	kuu'usá	k u u/u ʔ u s á/a		115	20	154	k u u/u ʔ u s á/a
126	Va	aguililla	kusá	kusá	k u s á/a		115	20	154	k u - - - s á/a
127	TA	aguililla	kusá	kusá	k u s á/a		115	20	154	k u - - - s á/a
128	TR	aguililla	kwasá.	kwasá.	kʷ a s á/a		115	20	154	kʷ a - - - s á/a
129	Proto	ala	*'ana	*'ana	ʔ a n a		4	312	160	ʔ a - - n a
130	TEP	ala	'á'ana	'á'ana	ʔ á/a ʔ a n a		4	312	160	ʔ á/a ʔ a n a
131	En	ala	hána-	hána-	h á/a n a		4	312	160	h á/a - - n a
132	Es	ala	ana-	ana-	a n a		4	312	160	- a - - n a
133	Va	ala	aná	aná	a n á/a		4	312	160	- a - - n á/a
134	TA	ala	aná.	aná.	a n á/a		4	312	160	- a - - n á/a
135	Proto	algodón	*cini	*cini	c i n i		32	253	167	c i - n i
136	O	algodón	cini	cini	c i n i		32	253	167	c i - n i
137	En	algodón	cin	cin	c i n		32	253	167	c i - n -
138	Y	algodón	cíini-	cíini-	c í/i i n i		32	253	167	c í/i i n i
139	MA	algodón	cíini-	cíini-	c í/i i n i		32	253	167	c í/i i n i
140	Va	algodón	ciní	ciní	c i n í/i		32	253	167	c i - n í/i
141	TA	algodón	ciní	ciní	c i n í/i		32	253	167	c i - n í/i
142	Proto	algodón	*tosa	*tosa	t o s a		317	250	168	t o - - s a
143	Vb	algodón	tó'osá	tó'osá	t ó/o ʔ o s á/a		317	250	168	t ó/o ʔ o s á/a
144	Va	algodón	to'sá	to'sá	t o s á/a		317	250	168	t o - - s á/a
145	TA	algodón	ro'sá.	ro'sá.	r o s á/a		317	250	168	r o - - s á/a
146	Proto	amanecer	*cira	*cira	c i r a		34	277	179	c i - r a
147	P	amanecer	si'a	si'a	s i ʔ a		34	277	179	s i - ʔ a
148	PI	amanecer	sia-	sia-	s i/j a		34	277	180	s i/j a
149	O	amanecer	cia	cia	c i/j a		34	277	180	c i/j a
150	En	amanecer	cáre-	cáre-	c á/a r e		34	277	179	c á/a - r e
151	Va	amanecer	ce'la-	ce'la-	c e l a		34	277	179	c e - l a
152	Va	amanecer	ce'ri-	ce'ri-	c e ʔ r i		34	277	179	c e ʔ r i
153	TA	amanecer	ce'ra	ce'ra	c e ʔ r a		34	277	179	c e ʔ r a
154	TA	amanecer	ci'ri-	ci'ri-	c i ʔ r i		34	277	179	c i ʔ r i
155	Proto	amargo	*cipu	*cipu	c i p u		33	266	189	c i - - p u
156	TEP	amargo	sivú'u	sivú'u	s i v ú/u ʔ u		33	266	189	s i v ú/u ʔ u
157	O	amargo	cipu	cipu	c i p u		33	266	189	c i - - p u
158	En	amargo	cipú-	cipú-	c i p ú/u		33	266	189	c i - - p ú/u
159	Y	amargo	ciíbu	ciíbu	c i í/i b u		33	266	189	c i - í/i b u
160	MA	amargo	ciíbu	ciíbu	c i í/i b u		33	266	189	c i - í/i b u
161	Vb	amargo	cihpú-	cihpú-	c i h p ú/u		33	266	189	c i h - p ú/u
162	Va	amargo	cihpú-	cihpú-	c i h p ú/u		33	266	189	c i h - p ú/u
163	TA	amargo	cipú.	cipú.	c i p ú/u		33	266	189	c i - - p ú/u
164	Proto	amarillo	*sawa	*sawa	s a w a		234	156	199	s a - w a
165	O	amarillo	sagwa-i	sagwa-i	s a gʷ a + i		234	156	199 200	s a - gʷ a + i
166	En	amarillo	sáwe-i	sáwe-i	s á/a w e + i		234	156	199 200	s á/a - w e + i
167	Y	amarillo	sáwa-i	sáwa-i	s á/a w a + i		234	156	199 200	s á/a - w a + i
168	MA	amarillo	sagwá-li	sagwá-li	s a gʷ á/a + l i		234	156	199 201	s a - gʷ á/a + l i
169	Vb	amarillo	sawá-eme	sawá-eme	s a w á/a + e m e		234	156	199 202	s a - w á/a + - e - m e
170	Va	amarillo	sa'wa-tóme	sa'wa-tóme	s a ʔ w a + t ó/o m e		234	156	199 202	s a ʔ w a + t ó/o - m e
171	TA	amarillo	sawa-róame	sawa-róame	s a w a + r ó/o a m e		234	156	199 202	s a - w a + r ó/o a m e
172	TR	amarillo	sawa-kár	sawa-kár	s a w a + k á/a r		234	156	199 203	s a - w a + k á/a r
173	Proto	amarrar	*pura	*pura	p u r a		221	141	217	p u r a -
174	Proto	amarrar	pur-i	pur-i	p u r + i		221	141	217 219	p u r - - + i
175	TEP	amarrar	vúri-sa	vúri-sa	v ú/u r i + s a		221	141	217 218	v ú/u r i - + s a
176	O	amarrar	bur-	bur-	b u r		221	141	217	b u r - -
177	En	amarrar	vúra-	vúra-	v ú/u r a		221	141	217	v ú/u r a -
178	Vb	amarrar	puri-	puri-	p u r i		221	141	217	p u r i -
179	Va	amarrar	pula-	pula-	p u l a		221	141	217	p u l a -
180	Va	amarrar	puri-	puri-	p u r i		221	141	217	p u r i -
181	TA	amarrar	burá	burá	b u r á/a		221	141	217	b u r á/a -
182	TA	amarrar	burɨ-.	burɨ-.	b u r ɨ +		221	141	217	b u r ɨ +
183	Proto	animal doméstico	*puku	*puku	p u k u		220	140	230	p u - k u
184	O	animal doméstico	vuku	vuku	v u k u		220	140	230	v u - k u
185	En	animal doméstico	bukú-t	bukú-t	b u k ú/u + t		220	140	230 231	b u - k ú/u + t
186	Y	animal doméstico	búk-e	búk-e	b ú/u k + e		220	140	230 232	b ú/u - k - + e
187	MA	animal doméstico	búkk-e	búkk-e	b ú/u kk/kː + e		220	140	230 232	b ú/u - kk/kː - + e
188	Vb	animal doméstico	puhkú	puhkú	p u h k ú/u		220	140	230	p u h k ú/u
189	Va	animal doméstico	puhkú	puhkú	p u h k ú/u		220	140	230	p u h k ú/u
190	TA	animal doméstico	bukú	bukú	b u k ú/u		220	140	230	b u - k ú/u
191	TR	animal doméstico	wokú-r.	wokú-r.	w o k ú/u + r		220	140	230 233	w o - k ú/u + r
192	Proto	anzuelo	*po'a	*po'a	p o ʔ a		209	127	244	p o ʔ a
193	Y	anzuelo	bó'a-ria-	bó'a-ria-	b ó/o ʔ a + r i/j a		209	127	244 245	b ó/o ʔ a + r i/j a
194	MA	anzuelo	bó'a-ria-	bó'a-ria-	b ó/o ʔ a + r i/j a		209	127	244 245	b ó/o ʔ a + r i/j a
195	Va	anzuelo	po'á-cula	po'á-cula	p o á/a + c u l a		209	127	244 247	p o - á/a + c u l a
196	TA	anzuelo	pówa	pówa	p ó/o w a		209	127	244	p ó/o w a
197	TR	anzuelo	wohá-t.	wohá-t.	w o h á/a + t		209	127	244 246	w o h á/a + t
198	Proto	apagarse	*tuku	*tuku	t u k u		320	254	255	t u k u
199	Proto	aprender	*pini	*pini	p i n i		204	122	257	p i n i -
200	Proto	aprender	pini	pini	p i n i		204	122	257	p i n i -
201	O	aprender	veni	veni	v e n i		204	122	257	v e n i -
202	En	aprender	víne-	víne-	v í/i n e		204	122	257	v í/i n e -
203	Va	aprender	peni-	peni-	p e n i		204	122	257	p e n i -
204	TA	aprender	biní	biní	b i n í/i		204	122	257	b i n í/i -
205	TA	aprender	ben-.	ben-.	b e n +		204	122	257	b e n - +
206	Proto	araña	*toka	*toka	t o k a		308	240	265	t o k a
207	PI	araña	toko-hopi	toko-hopi	t o k o + h o p i		308	240	265 267	t o k o + h o p i
208	O	araña	gwi-toka	gwi-toka	gʷ i + t o k a		308	240	266 265	gʷ i + t o k a
209	En	araña	tóka	tóka	t ó/o k a		308	240	265	t ó/o k a
210	TA	araña	ro'ká	ro'ká	r o ʔ k á/a		308	240	268	r o ʔ k á/a
211	TR	araña	tok-wát.	tok-wát.	t o k + w á/a t		308	240	265 269	t o k - + w á/a t
212	Proto	arco	*wata	*wata	w a t a		329	265	275	w a - t a
213	TEP	arco	gáato-i	gáato-i	g á/a a t o + i		329	265	275 276	g á/a a t o + i
214	Va	arco	atá	atá	a t á/a		329	265	275	- a - t á/a
215	TA	arco	atá	atá	a t á/a		329	265	275	- a - t á/a
216	TA	arco	watá.	watá.	w a t á/a		329	265	275	w a - t á/a
217	Proto	arder	*taha	*taha	t a h a		268	195	282	t a - h a
218	Proto	arder	tah-i	tah-i	t a h + i		268	195	282 284	t a - h - + i
219	TEP	arder	tái	tái	t á/a i		268	195	282	t á/a i - -
220	O	arder	tha	tha	tʰ a		268	195	282	tʰ a - - -
221	En	arder	táha-	táha-	t á/a h a		268	195	282	t á/a - h a
222	Y	arder	táha-	táha-	t á/a h a		268	195	282	t á/a - h a
223	MA	arder	táhha-	táhha-	t á/a hh/hː a		268	195	282	t á/a - hh/hː a
224	Va	arder	taha-	taha-	t a h a		268	195	282	t a - h a
225	Va	arder	tahi-	tahi-	t a h i		268	195	282	t a - h i
226	TA	arder	rahá	rahá	r a h á/a		268	195	282	r a - h á/a
227	TA	arder	rahi-	rahi-	r a h i		268	195	282	r a - h i
228	TR	arder	taha-mét	taha-mét	t a h a + m é/e t		268	195	282 283	t a - h a + m é/e t
229	Proto	arena	*sa	*sa	s a		226	147	297	s a - - -
230	Proto	arena	sɨ	sɨ	s ɨ		226	147	297	s ɨ - - -
231	P	arena	hia	hia	h i/j a		226	147	298	h i/j a
232	PI	arena	hia	hia	h i/j a		226	147	298	h i/j a
233	En	arena	sá	sá	s á/a		226	147	297	s á/a - - -
234	Y	arena	seé'e	seé'e	s e é/e ʔ e		226	147	297	s e é/e ʔ e
235	MA	arena	seé'e	seé'e	s e é/e ʔ e		226	147	297	s e é/e ʔ e
236	Va	arena	seté	seté	s e t é/e		226	147	297	s e - t é/e
237	TA	arena	saté	saté	s a t é/e		226	147	297	s a - t é/e
238	TR	arena	sihá-t.	sihá-t.	s i h á/a + t		226	147	297 299	s i - h á/a + t
239	Proto	arrancar	*pona	*pona	p o n a		212	131	309	p o - n a
240	PI	arrancar	bona	bona	b o n a		212	131	309	b o - n a
241	O	arrancar	pon-	pon-	p o n		212	131	309	p o - n -
242	En	arrancar	póna-	póna-	p ó/o n a		212	131	309	p ó/o - n a
243	MA	arrancar	pónna	pónna	p ó/o nn/nː a		212	131	309	p ó/o - nn/nː a
244	Va	arrancar	po'na-	po'na-	p o ʔ n a		212	131	309	p o ʔ n a
245	TA	arrancar	bo'ná.	bo'ná.	b o ʔ n á/a		212	131	309	b o ʔ n á/a
246	Proto	arroyo	*haki	*haki	h a k i		50	324	317	h a k i - - -
247	TEP	arroyo	'áki	'áki	ʔ á/a k i		50	324	317	ʔ á/a k i - - -
248	En	arroyo	háki-	háki-	h á/a k i		50	324	317	h á/a k i - - -
249	Y	arroyo	hakía	hakía	h a k í/i a		50	324	317	h a k í/i - - a
250	MA	arroyo	hakía	hakía	h a k í/i a		50	324	317	h a k í/i - - a
251	Vb	arroyo	hakiscí	hakiscí	h a k i s c í/i		50	324	317	h a k i s c í/i
252	Va	arroyo	akí	akí	a k í/i		50	324	317	- a k í/i - - -
253	TA	arroyo	aki-cí.	aki-cí.	a k i + c í/i		50	324	317 318	- a k i - - - + c í/i
254	Proto	arrugarse	*coro	*coro	c o r o		44	317	327	c o - - - r o
255	Proto	arrugarse	cor-i	cor-i	c o r + i		44	317	327 328	c o - - - r - + i
256	PI	arrugarse	sorho-	sorho-	s o r h o		44	317	327	s o r h - - o
257	En	arrugarse	coró-	coró-	c o r ó/o		44	317	327	c o - - - r ó/o
258	MA	arrugarse	coórí	coórí	c o ó/o r í/i		44	317	327	c o - - ó/o r í/i
259	TA	arrugarse	co'ró.	co'ró.	c o ʔ r ó/o		44	317	327	c o - ʔ - r ó/o
260	Proto	asar	*wawɨ	*wawɨ	w a w ɨ		330	267	335	w a - - w ɨ
261	Proto	asar	waw-i	waw-i	w a w + i		330	267	335 337	w a - - w - + i
262	P	asar	ga'a	ga'a	g a ʔ a		330	267	335	g a ʔ - - a
263	Tn	asar	gái	gái	g á/a i		330	267	335	g á/a - - - i
264	Ts	asar	gá'aya-'in	gá'aya-'in	g á/a ʔ a y/j a + ʔ i n		330	267	335 336	g á/a ʔ a y/j a + ʔ i n
265	O	asar	gwagwa	gwagwa	gʷ a gʷ a		330	267	335	gʷ a - - gʷ a
266	En	asar	gwáwe-	gwáwe-	gʷ á/a w e		330	267	335	gʷ á/a - - w e
267	Y	asar	waáwa	waáwa	w a á/a w a		330	267	335	w a - á/a w a
268	MA	asar	gwaáwa	gwaáwa	gʷ a á/a w a		330	267	335	gʷ a - á/a w a
269	TA	asar	awé.	awé.	a w é/e		330	267	335	- a - - w é/e
270	Proto	atascarse	*'oto	*'oto	ʔ o t o		23	151	348	ʔ o t o
271	O	atascarse	oto-wa	oto-wa	o t o + w a		23	151	348 349	- o t o + w a
272	En	atascarse	otó-	otó-	o t ó/o		23	151	348	- o t ó/o
273	TA	atascarse	to-báci to-bá	to-báci_to-bá	t o + b á/a c i + t o + b á/a		23	151	348 350 351 352	- - t o + b á/a c i + t o + b á/a
274	Proto	aura	*wiru	*wiru	w i r u		339	276	357	w i - r u
275	Y	aura	wiíru	wiíru	w i í/i r u		339	276	357	w i í/i r u
276	MA	aura	wiíru	wiíru	w i í/i r u		339	276	357	w i í/i r u
277	TA	aura	wirú	wirú	w i r ú/u		339	276	357	w i - r ú/u
278	TR	aura	wilú.	wilú.	w i l ú/u		339	276	357	w i - l ú/u
279	Proto	avispa	*pica	*pica	p i c a		194	110	363	p i - c a
280	P	avispa	wipsh	wipsh	w i p sh/ʃ		194	110	364	w i p sh/ʃ
281	O	avispa	pica	pica	p i c a		194	110	363	p i - c a
282	En	avispa	píca	píca	p í/i c a		194	110	363	p í/i - c a
283	Y	avispa	biíca	biíca	b i í/i c a		194	110	363	b i í/i c a
284	MA	avispa	biíca	biíca	b i í/i c a		194	110	363	b i í/i c a
285	Va	avispa	pi'cá.	pi'cá.	p i c á/a		194	110	363	p i - c á/a
286	Proto	ayudar	*ku'i	*ku'i	k u ʔ i		102	5	371	k u ʔ - i
287	O	ayudar	kui	kui	k ui		102	5	371	k ui - - -
288	En	ayudar	kuí-	kuí-	k u í/i		102	5	371	k u - - í/i
289	Va	ayudar	ku'í-	ku'í-	k u í/i		102	5	371	k u - - í/i
290	TA	ayudar	ku'wí.	ku'wí.	k u ʔ w í/i		102	5	371	k u ʔ w í/i
291	Proto	azotar	*wɨpa	*wɨpa	w ɨ p a		342	280	377	w ɨ - - p a -
292	Proto	azotar	wɨp-i	wɨp-i	w ɨ p + i		342	280	377 380	w ɨ - - p - - + i
293	TEP	azotar	gívai	gívai	g í/i v ai		342	280	379	g í/i v ai
294	O	azotar	begw-	begw-	b e gʷ		342	280	378	b e gʷ
295	En	azotar	véwa-	véwa-	v é/e w a		342	280	377	v é/e - - w a -
296	Y	azotar	beéba	beéba	b e é/e b a		342	280	377	b e - é/e b a -
297	MA	azotar	beéba	beéba	b e é/e b a		342	280	377	b e - é/e b a -
298	Vb	azotar	wepa-	wepa-	w e p a		342	280	377	w e - - p a -
299	Va	azotar	wehpa-	wehpa-	w e h p a		342	280	377	w e h - p a -
300	Va	azotar	wehpi-	wehpi-	w e h p i		342	280	377	w e h - p i -
301	TA	azotar	wepá	wepá	w e p á/a		342	280	377	w e - - p á/a -
302	TA	azotar	wipi-	wipi-	w i p i		342	280	377	w i - - p i -
303	TR	azotar	wewa-.	wewa-.	w e w a +		342	280	377	w e - - w a +
304	Proto	bagre	*musi	*musi	m u s i		160	71	392	m u - s i
305	O	bagre	musi	musi	m u s i		160	71	392	m u - s i
306	On	bagre	músi	músi	m ú/u s i		160	71	392	m ú/u - s i
307	TA	bagre	musí	musí	m u s í/i		160	71	392	m u - s í/i
308	TA	bagre	muusí.	muusí.	m u u/u s í/i		160	71	392	m u u/u s í/i
309	Proto	bailar	*yawi	*yawi	y/j a w i		352	291	398	y/j a w - - i
310	O	bailar	dagwi-	dagwi-	d a gʷ i		352	291	398	d a gʷ - - i
311	O	bailar	dah	dah	d a h		352	291	400	d a h
312	En	bailar	dáwe-	dáwe-	d á/a w e		352	291	398	d á/a w - - e
313	Y	bailar	yé'e	yé'e	y/j é/e ʔ e		352	291	398	y/j é/e ʔ - - e
314	MA	bailar	ye'eye	ye'eye	y/j e ʔ e y/j e		352	291	398	y/j e ʔ e y/j e
315	Vb	bailar	yawi-	yawi-	y/j a w i		352	291	398	y/j a w - - i
316	Va	bailar	yawi-	yawi-	y/j a w i		352	291	398	y/j a w - - i
317	TA	bailar	yawí	yawí	y/j a w í/i		352	291	398	y/j a w - - í/i
318	TA	bailar	awí	awí	a w í/i		352	291	398	- a w - - í/i
319	TR	bailar	nyaáy	nyaáy	n y/j a áy/ai		352	291	399	n y/j a áy/ai
320	Proto	barbas	*himusi	*himusi	h i m u s i		57	331	410	h i - m u - s i
321	En	barbas	hímusi-	hímusi-	h í/i m u s i		57	331	410	h í/i - m u - s i
322	Es	barbas	himpsi	himpsi	h i m p s i		57	331	410	h i - m - p s i
323	Y	barbas	hímsi-	hímsi-	h í/i m s i		57	331	410	h í/i - m - - s i
324	MA	barbas	hiímsi-	hiímsi-	h i í/i m s i		57	331	410	h i í/i m - - s i
