Grapheme	IPA	Examples	Languages	Frequence	Codepoints
^	NULL				
$	NULL				
-	+	bó'a-ria-, puri-	En, Va, Y, TA, MA, TR, Proto, O, TEP, Vb, Es, PI, P, V	100	U+002d
-$	NULL	bó'a-ria-, puri-	En, Va, Y, TA, MA, TR, Proto, O, TEP, Vb, Es, PI, P, V	100	U+002d
^-	NULL	bó'a-ria-, puri-	En, Va, Y, TA, MA, TR, Proto, O, TEP, Vb, Es, PI, P, V	100	U+002d
a$	a	*tosa, seéka	Proto, MA, Y, En, O, Va, TEP, Es, TR, PI, TA, Vb, Ma, Tn, V	100	U+0061 U+0024
a	a	sawa-róame, karí	Proto, TA, TR, O, Va, Vb, P, MA, Y, PI, En, Es	100	U+0061
i$	i	saámi, yawi-	Proto, O, Y, MA, Va, Vb, TA, En, TEP, PI, Ma, On, P, Es, TR	100	U+0069 U+0024
k	k	kókori, seéka	Proto, TR, TA, MA, En, Y, Va, Vb, PI, Es, O, TEP, Tn, Ts, P	100	U+006b
o	o	momohá, toko-hopi	Proto, TA, Va, O, Vb, PI, Y, TR, MA, Es, En, P, TEP	100	U+006f
i	i	yóri-homá, giku'u-in	TA, Proto, O, TR, Va, En, Vb, P, MA, Ts, TEP, PI, Tn, Es	100	U+0069
u	u	mumukut, kusá	Proto, TA, O, Va, TR, Es, En, PI, Vb, P, Y, V, Ts, TEP, MA	100	U+0075
r	r	karí, yóri-homá	Proto, TA, Vb, MA, En, Va, O, TR, Y, TEP, Es	100	U+0072
.	NULL	taká., má.	TA, TR, Y, Va, MA, T	100	U+002e
^t	t	taká., táka-	Va, MA, TR, O, En, Y, Vb, TEP, PI, P, Proto, Tn, Ts, TA	100	U+005e U+0074
^k	k	karí, kawi	TA, Va, Y, O, Vb, TR, MA, En, TEP, Proto, T, Es, P, PI	100	U+005e U+006b
^*	NULL	*tosa, *'awa	Proto	100	U+005e U+002a
á$	á/a	seká, kusá	TA, Va, Vb, TR, En, E, Y, Ts, T, TEP, MA	100	U+00e1 U+0024
^s	s	seká, saámi	TA, Va, MA, En, Y, TR, Vb, O, Proto, PI, Es, TEP, Tn, T, P	100	U+005e U+0073
n	n	maní., caní	Proto, En, Vb, Y, Va, O, TA, MA, TEP, TR, PI, P, Tn, T, Es	100	U+006e
h	h	yóri-homá, tohá	Va, Vb, P, Proto, TR, PI, TA, Y, En, TEP, O, VA, MA	100	U+0068
c	ts	kará-ci, biíca	Proto, TA, Va, O, En, Y, MA, Vb, TR, Es	100	U+0063
s	s	kusá, posa-	Proto, TA, TR, Va, Vb, En, Y, O, TEP, MA, V, Tn, On, PI	100	U+0073
e	e	seká, wepa-Va_wehpa-	Va, O, TA, MA, TR, Y, Vb, En, Es, T	100	U+0065
á	á/a	kará-ci, bwásia	En, TR, Y, MA, Vb, TA, TEP, Va, Ts	100	U+00e1
^m	m	mo'ó, má.	O, TA, En, MA, Y, Va, P, TR, Proto, Vb, PI, TEP, VA, Ma, Tn, On, Ts, Es	100	U+005e U+006d
p	p	wepa-Va_wehpa-, kúpe	Proto, TA, Vb, Va, O, En, Y, MA, TEP, TR, PI, Es, P	100	U+0070
w	w	kawi, ciwí	Proto, TA, TR, Vb, En, Y, Va, O, MA, Ts, Es	100	U+0077
t	t	*tosa, atá	Proto, MA, TA, Va, Y, TR, Vb, O, En, TEP, Es	100	U+0074
