ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,ConceptInSource,Entry
WarihioHighland-1_beeshive-1,,WarihioHighland,1_beeshive,momohá,momohá,m o m o h á/a,,Lionnet1985,156,,^m o m o h á$,default,,"156 *mumu, ""abejas, panal"". - PI mumuba, Tn mɨmívai, Ts mɨmɨí; О mumugo, En mumúgo, Es mumukut; Y múmu-, MA múmmu-; Vb.Va momohá, TA umugá_""panal dе avispas negras""."
TarahumaraCentral-1_beeshive-1,,TarahumaraCentral,1_beeshive,umugá,umugá,u m u g á/a,,Lionnet1985,156,,^u m u g á$,default,panal de avispas negras,"156 *mumu, ""abejas, panal"". - PI mumuba, Tn mɨmívai, Ts mɨmɨí; О mumugo, En mumúgo, Es mumukut; Y múmu-, MA múmmu-; Vb.Va momohá, TA umugá_""panal dе avispas negras""."
ProtoSonoran-2_slap-1,,ProtoSonoran,2_slap,*cona,*cona,ts o n a,,Lionnet1985,39,,^* c o n a$,default,,"39 *соnа, con-i, ""abofetear"". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, TA со'ná, со'ni-."
ProtoSonoran-2_slap-2,,ProtoSonoran,2_slap,con-i,con-i,ts o n + i,,Lionnet1985,39,,^c o n - i$,default,,"39 *соnа, con-i, ""abofetear"". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, TA со'ná, со'ni-."
TohonoOdam-2_slap-1,,TohonoOdam,2_slap,shoni-,shoni-,sh/ʃ o n i,,Lionnet1985,39,,^sh o n i -$,default,,"39 *соnа, con-i, ""abofetear"". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, TA со'ná, со'ni-."
SonoraPimaBajo-2_slap-1,,SonoraPimaBajo,2_slap,soni-,soni-,s o n i,,Lionnet1985,39,,^s o n i -$,default,,"39 *соnа, con-i, ""abofetear"". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, TA со'ná, со'ni-."
EudeveNorth-2_slap-1,,EudeveNorth,2_slap,cóna-,cóna-,ts ó/o n a,,Lionnet1985,39,,^c ó n a -$,default,,"39 *соnа, con-i, ""abofetear"". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, TA со'ná, со'ni-."
Yaqui-2_slap-1,,Yaqui,2_slap,-cona,-cona,ts o n a,,Lionnet1985,39,,^- c o n a$,default,,"39 *соnа, con-i, ""abofetear"". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, TA со'ná, со'ni-."
Mayo-2_slap-1,,Mayo,2_slap,cónna,cónna,ts ó/o nn/nː a,,Lionnet1985,39,,^c ó nn a$,default,,"39 *соnа, con-i, ""abofetear"". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, TA со'ná, со'ni-."
WarihioHighland-2_slap-1,,WarihioHighland,2_slap,co'na-,co'na-,ts o ʔ n a,,Lionnet1985,39,,^c o 'n a -$,default,,"39 *соnа, con-i, ""abofetear"". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, TA со'ná, со'ni-."
WarihioHighland-2_slap-2,,WarihioHighland,2_slap,co'ni-,co'ni-,ts o ʔ n i,,Lionnet1985,39,,^c o 'n i -$,default,,"39 *соnа, con-i, ""abofetear"". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, TA со'ná, со'ni-."
TarahumaraCentral-2_slap-1,,TarahumaraCentral,2_slap,co'ná,co'ná,ts o ʔ n á/a,,Lionnet1985,39,,^c o 'n á$,default,,"39 *соnа, con-i, ""abofetear"". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, TA со'ná, со'ni-."
TarahumaraCentral-2_slap-2,,TarahumaraCentral,2_slap,co'ni-.,co'ni-,ts o ʔ n i,,Lionnet1985,39,,^c o 'n i -$,default,,"39 *соnа, con-i, ""abofetear"". - Р shoni-, PI soni-; Еn сónа-; Y -соnа, МА cónna; Va со'nа-, со'ni-, TA со'ná, со'ni-."
ProtoSonoran-3_openeyes-1,,ProtoSonoran,3_openeyes,*pusu,*pusu,p u s u,,Lionnet1985,223,,^* p u s u$,default,,"223 *pusu, рus-а, ""abrir ojos"". - Р wuha-n_""despertar""; O bussa_""despertar"", En búsu-; Y búsa, МА bússa; V pusa-, TA busú, busi-."
ProtoSonoran-3_openeyes-2,,ProtoSonoran,3_openeyes,pus-a,pus-a,p u s + a,,Lionnet1985,223,,^p u s - a$,default,,"223 *pusu, рus-а, ""abrir ojos"". - Р wuha-n_""despertar""; O bussa_""despertar"", En búsu-; Y búsa, МА bússa; V pusa-, TA busú, busi-."
TohonoOdam-3_openeyes-1,,TohonoOdam,3_openeyes,wuha-n,wuha-n,w u h a + n,,Lionnet1985,223,,^w u h a - n$,default,despertar,"223 *pusu, рus-а, ""abrir ojos"". - Р wuha-n_""despertar""; O bussa_""despertar"", En búsu-; Y búsa, МА bússa; V pusa-, TA busú, busi-."
Opata-3_openeyes-1,,Opata,3_openeyes,bussa,bussa,b u ss/sː a,,Lionnet1985,223,,^b u ss a$,default,despertar,"223 *pusu, рus-а, ""abrir ojos"". - Р wuha-n_""despertar""; O bussa_""despertar"", En búsu-; Y búsa, МА bússa; V pusa-, TA busú, busi-."
EudeveNorth-3_openeyes-1,,EudeveNorth,3_openeyes,búsu-,búsu-,b ú/u s u,,Lionnet1985,223,,^b ú s u -$,default,,"223 *pusu, рus-а, ""abrir ojos"". - Р wuha-n_""despertar""; O bussa_""despertar"", En búsu-; Y búsa, МА bússa; V pusa-, TA busú, busi-."
Yaqui-3_openeyes-1,,Yaqui,3_openeyes,búsa,búsa,b ú/u s a,,Lionnet1985,223,,^b ú s a$,default,,"223 *pusu, рus-а, ""abrir ojos"". - Р wuha-n_""despertar""; O bussa_""despertar"", En búsu-; Y búsa, МА bússa; V pusa-, TA busú, busi-."
Mayo-3_openeyes-1,,Mayo,3_openeyes,bússa,bússa,b ú/u ss/sː a,,Lionnet1985,223,,^b ú ss a$,default,,"223 *pusu, рus-а, ""abrir ojos"". - Р wuha-n_""despertar""; O bussa_""despertar"", En búsu-; Y búsa, МА bússa; V pusa-, TA busú, busi-."
TarahumaraCentral-3_openeyes-1,,TarahumaraCentral,3_openeyes,busú,busú,b u s ú/u,,Lionnet1985,223,,^b u s ú$,default,,"223 *pusu, рus-а, ""abrir ojos"". - Р wuha-n_""despertar""; O bussa_""despertar"", En búsu-; Y búsa, МА bússa; V pusa-, TA busú, busi-."
TarahumaraCentral-3_openeyes-2,,TarahumaraCentral,3_openeyes,busi-.,busi-,b u s i,,Lionnet1985,223,,^b u s i -$,default,,"223 *pusu, рus-а, ""abrir ojos"". - Р wuha-n_""despertar""; O bussa_""despertar"", En búsu-; Y búsa, МА bússa; V pusa-, TA busú, busi-."
ProtoSonoran-4_maternalgrandmother-1,,ProtoSonoran,4_maternalgrandmother,*su,*su,s u,,Lionnet1985,260,,^*s u$,default,,"260 *su, ""abuela materna"". - ТЕР hú'ú-ri; O su, Es su; Y á-su; Va su'-sú, TA u-sú, u'-sú; TR suú_""abuelo""."
ProtoTepiman-4_maternalgrandmother-1,,ProtoTepiman,4_maternalgrandmother,hú'ú-ri,hú'ú-ri,h ú/u ʔ ú/u + r i,,Lionnet1985,260,,^h ú 'ú - r i$,default,,"260 *su, ""abuela materna"". - ТЕР hú'ú-ri; O su, Es su; Y á-su; Va su'-sú, TA u-sú, u'-sú; TR suú_""abuelo""."
Opata-4_maternalgrandmother-1,,Opata,4_maternalgrandmother,su,su,s u,,Lionnet1985,260,,^s u$,default,,"260 *su, ""abuela materna"". - ТЕР hú'ú-ri; O su, Es su; Y á-su; Va su'-sú, TA u-sú, u'-sú; TR suú_""abuelo""."
EudeveSouth-4_maternalgrandmother-1,,EudeveSouth,4_maternalgrandmother,su,su,s u,,Lionnet1985,260,,^s u$,default,,"260 *su, ""abuela materna"". - ТЕР hú'ú-ri; O su, Es su; Y á-su; Va su'-sú, TA u-sú, u'-sú; TR suú_""abuelo""."
Yaqui-4_maternalgrandmother-1,,Yaqui,4_maternalgrandmother,á-su,á-su,á/a + s u,,Lionnet1985,260,,^á - s u$,default,,"260 *su, ""abuela materna"". - ТЕР hú'ú-ri; O su, Es su; Y á-su; Va su'-sú, TA u-sú, u'-sú; TR suú_""abuelo""."
WarihioHighland-4_maternalgrandmother-1,,WarihioHighland,4_maternalgrandmother,su'-sú,su'-sú,s u ʔ + s ú/u,,Lionnet1985,260,,^s u ' - s ú$,default,,"260 *su, ""abuela materna"". - ТЕР hú'ú-ri; O su, Es su; Y á-su; Va su'-sú, TA u-sú, u'-sú; TR suú_""abuelo""."
TarahumaraCentral-4_maternalgrandmother-1,,TarahumaraCentral,4_maternalgrandmother,u-sú,u-sú,u + s ú/u,,Lionnet1985,260,,^u - s ú$,default,,"260 *su, ""abuela materna"". - ТЕР hú'ú-ri; O su, Es su; Y á-su; Va su'-sú, TA u-sú, u'-sú; TR suú_""abuelo""."
TarahumaraCentral-4_maternalgrandmother-2,,TarahumaraCentral,4_maternalgrandmother,u'-sú,u'-sú,u ʔ + s ú/u,,Lionnet1985,260,,^u ' - s ú$,default,,"260 *su, ""abuela materna"". - ТЕР hú'ú-ri; O su, Es su; Y á-su; Va su'-sú, TA u-sú, u'-sú; TR suú_""abuelo""."
Tubar-4_maternalgrandmother-1,,Tubar,4_maternalgrandmother,suú,suú,s u u,,Lionnet1985,260,,^s uú$,default,abuelo,"260 *su, ""abuela materna"". - ТЕР hú'ú-ri; O su, Es su; Y á-su; Va su'-sú, TA u-sú, u'-sú; TR suú_""abuelo""."
ProtoSonoran-5_maternalgrandfather-1,,ProtoSonoran,5_maternalgrandfather,*kwa,*kwa,kʷ a,,Lionnet1985,112,,^* kw a$,default,,"112 *kwa, ""abuelo materno"". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, TA арá."
ProtoTepiman-5_maternalgrandfather-1,,ProtoTepiman,5_maternalgrandfather,báaba,báaba,b á/a a b a,,Lionnet1985,112,,^b áa b a$,default,,"112 *kwa, ""abuelo materno"". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, TA арá."
Opata-5_maternalgrandfather-1,,Opata,5_maternalgrandfather,paogwat,paogwat,p a o gʷ a t,,Lionnet1985,112,,^p ao gw a t$,default,,"112 *kwa, ""abuelo materno"". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, TA арá."
Yaqui-5_maternalgrandfather-1,,Yaqui,5_maternalgrandfather,ápa,ápa,á/a p a,,Lionnet1985,112,,^á p a$,default,,"112 *kwa, ""abuelo materno"". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, TA арá."
Mayo-5_maternalgrandfather-1,,Mayo,5_maternalgrandfather,áppa,áppa,á/a pp/pː a,,Lionnet1985,112,,^á pp a$,default,,"112 *kwa, ""abuelo materno"". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, TA арá."
WarihioLowland-5_maternalgrandfather-1,,WarihioLowland,5_maternalgrandfather,páhpa,páhpa,p á/a h p a,,Lionnet1985,112,,^p á h p a$,default,,"112 *kwa, ""abuelo materno"". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, TA арá."
WarihioHighland-5_maternalgrandfather-1,,WarihioHighland,5_maternalgrandfather,papá,papá,p a p á/a,,Lionnet1985,112,,^p a p á$,default,,"112 *kwa, ""abuelo materno"". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, TA арá."
TarahumaraCentral-5_maternalgrandfather-1,,TarahumaraCentral,5_maternalgrandfather,apá.,apá,a p á/a,,Lionnet1985,112,,^a p á$,default,,"112 *kwa, ""abuelo materno"". - ТЕР báаbа; O paogwat, Е рá; Y áра, Ма áрра; Vb páhpa, Va рарá, TA арá."
ProtoSonoran-6_happenoccur-1,,ProtoSonoran,6_happenoccur,*yɨk,*yɨk,y/j ɨ k,,Lionnet1985,356,,^* yɨ k$,default,,"356 *yɨk, ""acontecer"". - O dek, En déke-; Va egi-, TA ikí."
Opata-6_happenoccur-1,,Opata,6_happenoccur,dek,dek,d e k,,Lionnet1985,356,,^d e k$,default,,"356 *yɨk, ""acontecer"". - O dek, En déke-; Va egi-, TA ikí."
EudeveNorth-6_happenoccur-1,,EudeveNorth,6_happenoccur,déke-,déke-,d é/e k e,,Lionnet1985,356,,^d é k e -$,default,,"356 *yɨk, ""acontecer"". - O dek, En déke-; Va egi-, TA ikí."
WarihioHighland-6_happenoccur-1,,WarihioHighland,6_happenoccur,egi-,egi-,e g i,,Lionnet1985,356,,^e g i -$,default,,"356 *yɨk, ""acontecer"". - O dek, En déke-; Va egi-, TA ikí."
TarahumaraCentral-6_happenoccur-1,,TarahumaraCentral,6_happenoccur,ikí.,ikí,i k í/i,,Lionnet1985,356,,^i k í$,default,,"356 *yɨk, ""acontecer"". - O dek, En déke-; Va egi-, TA ikí."
ProtoSonoran-7_liedown-1,,ProtoSonoran,7_liedown,*po,*po,p o,,Lionnet1985,208,,^* p o$,default,,"208 *ро, ро-i, ""acostarse"". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb.Va ро'í, TA bо'í_""estar асоstаdо""."
ProtoSonoran-7_liedown-2,,ProtoSonoran,7_liedown,po-i,po-i,p o + i,,Lionnet1985,208,,^p o - i$,default,,"208 *ро, ро-i, ""acostarse"". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb.Va ро'í, TA bо'í_""estar асоstаdо""."
TohonoOdam-7_liedown-1,,TohonoOdam,7_liedown,wo'o,wo'o,w o o,,Lionnet1985,208,,^w o 'o$,default,,"208 *ро, ро-i, ""acostarse"". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb.Va ро'í, TA bо'í_""estar асоstаdо""."
SonoraPimaBajo-7_liedown-1,,SonoraPimaBajo,7_liedown,voho,voho,v o h o,,Lionnet1985,208,,^v o h o$,default,,"208 *ро, ро-i, ""acostarse"". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb.Va ро'í, TA bо'í_""estar асоstаdо""."
Opata-7_liedown-1,,Opata,7_liedown,bo,bo,b o,,Lionnet1985,208,,^b o$,default,,"208 *ро, ро-i, ""acostarse"". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb.Va ро'í, TA bо'í_""estar асоstаdо""."
EudeveNorth-7_liedown-1,,EudeveNorth,7_liedown,boo-,boo-,b oː,,Lionnet1985,208,,^b oo -$,default,,"208 *ро, ро-i, ""acostarse"". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb.Va ро'í, TA bо'í_""estar асоstаdо""."
Yaqui-7_liedown-1,,Yaqui,7_liedown,bó'o,bó'o,b ó/o o,,Lionnet1985,208,,^b ó 'o$,default,,"208 *ро, ро-i, ""acostarse"". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb.Va ро'í, TA bо'í_""estar асоstаdо""."
Mayo-7_liedown-1,,Mayo,7_liedown,bó'o-ye,bó'o-ye,b ó/o ʔ o + y/j e,,Lionnet1985,208,,^b ó 'o - ye$,default,,"208 *ро, ро-i, ""acostarse"". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb.Va ро'í, TA bо'í_""estar асоstаdо""."
WarihioLowland-7_liedown-1,,WarihioLowland,7_liedown,po'í,po'í,p o ʔ í/i,,Lionnet1985,208,,^p o 'í$,default,,"208 *ро, ро-i, ""acostarse"". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb.Va ро'í, TA bо'í_""estar асоstаdо""."
WarihioHighland-7_liedown-1,,WarihioHighland,7_liedown,po'í,po'í,p o ʔ í/i,,Lionnet1985,208,,^p o 'í$,default,,"208 *ро, ро-i, ""acostarse"". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb.Va ро'í, TA bо'í_""estar асоstаdо""."
TarahumaraCentral-7_liedown-1,,TarahumaraCentral,7_liedown,bo'í,bo'í,b o ʔ í/i,,Lionnet1985,208,,^b o 'í$,default,estar acostado,"208 *ро, ро-i, ""acostarse"". - Р wo'о, PI voho; O bо, En bоо-; Y bó'о, МА bó'о-yе; Vb.Va ро'í, TA bо'í_""estar асоstаdо""."
ProtoSonoran-8_adobe-1,,ProtoSonoran,8_adobe,*sami,*sami,s a m i,,Lionnet1985,230,,^*s a m i$,default,,"230 *sami, ""adobe"". - PI sami; O sami, Еn saamí; Y.MA saámi; Vb sa'amí, Va.TA samí; TR саmé."
SonoraPimaBajo-8_adobe-1,,SonoraPimaBajo,8_adobe,sami,sami,s a m i,,Lionnet1985,230,,^s a m i$,default,,"230 *sami, ""adobe"". - PI sami; O sami, Еn saamí; Y.MA saámi; Vb sa'amí, Va.TA samí; TR саmé."
Opata-8_adobe-1,,Opata,8_adobe,sami,sami,s a m i,,Lionnet1985,230,,^s a m i$,default,,"230 *sami, ""adobe"". - PI sami; O sami, Еn saamí; Y.MA saámi; Vb sa'amí, Va.TA samí; TR саmé."
EudeveNorth-8_adobe-1,,EudeveNorth,8_adobe,saamí,saamí,s a a m í/i,,Lionnet1985,230,,^s aa m í$,default,,"230 *sami, ""adobe"". - PI sami; O sami, Еn saamí; Y.MA saámi; Vb sa'amí, Va.TA samí; TR саmé."
Yaqui-8_adobe-1,,Yaqui,8_adobe,saámi,saámi,s a á/a m i,,Lionnet1985,230,,^s aá m i$,default,,"230 *sami, ""adobe"". - PI sami; O sami, Еn saamí; Y.MA saámi; Vb sa'amí, Va.TA samí; TR саmé."
Mayo-8_adobe-1,,Mayo,8_adobe,saámi,saámi,s a á/a m i,,Lionnet1985,230,,^s aá m i$,default,,"230 *sami, ""adobe"". - PI sami; O sami, Еn saamí; Y.MA saámi; Vb sa'amí, Va.TA samí; TR саmé."
WarihioLowland-8_adobe-1,,WarihioLowland,8_adobe,sa'amí,sa'amí,s a ʔ a m í/i,,Lionnet1985,230,,^s a 'a m í$,default,,"230 *sami, ""adobe"". - PI sami; O sami, Еn saamí; Y.MA saámi; Vb sa'amí, Va.TA samí; TR саmé."
WarihioHighland-8_adobe-1,,WarihioHighland,8_adobe,samí,samí,s a m í/i,,Lionnet1985,230,,^s a m í$,default,,"230 *sami, ""adobe"". - PI sami; O sami, Еn saamí; Y.MA saámi; Vb sa'amí, Va.TA samí; TR саmé."
TarahumaraCentral-8_adobe-1,,TarahumaraCentral,8_adobe,samí,samí,s a m í/i,,Lionnet1985,230,,^s a m í$,default,,"230 *sami, ""adobe"". - PI sami; O sami, Еn saamí; Y.MA saámi; Vb sa'amí, Va.TA samí; TR саmé."
Tubar-8_adobe-1,,Tubar,8_adobe,camé.,camé,ts a m é/e,,Lionnet1985,230,,^c a m é$,default,,"230 *sami, ""adobe"". - PI sami; O sami, Еn saamí; Y.MA saámi; Vb sa'amí, Va.TA samí; TR саmé."
ProtoSonoran-9_sharp-1,,ProtoSonoran,9_sharp,*wicu,*wicu,w i ts u,,Lionnet1985,333,,^*w i c u$,default,,"333 *wicu, ""afilado"". - O gwicu, En wicú; TA wicu-tá_""afilar""."
Opata-9_sharp-1,,Opata,9_sharp,gwicu,gwicu,gʷ i ts u,,Lionnet1985,333,,^gw i c u$,default,,"333 *wicu, ""afilado"". - O gwicu, En wicú; TA wicu-tá_""afilar""."
EudeveNorth-9_sharp-1,,EudeveNorth,9_sharp,wicú,wicú,w i ts ú/u,,Lionnet1985,333,,^w i c ú$,default,,"333 *wicu, ""afilado"". - O gwicu, En wicú; TA wicu-tá_""afilar""."
TarahumaraCentral-9_sharp-1,,TarahumaraCentral,9_sharp,wicu-tá,wicu-tá,w i ts u + t á/a,,Lionnet1985,333,,^w i c u - t á$,default,afilar,"333 *wicu, ""afilado"". - O gwicu, En wicú; TA wicu-tá_""afilar""."
ProtoSonoran-10_loosen-1,,ProtoSonoran,10_loosen,*hota,*hota,h o t a,,Lionnet1985,63,,^*h o t a$,default,,"63 *hota, ""aflojarse"". - O hotta-, En hóta-, Es ota-; TA otá."
Opata-10_loosen-1,,Opata,10_loosen,hotta-,hotta-,h o tt/tː a,,Lionnet1985,63,,^h o tt a -$,default,,"63 *hota, ""aflojarse"". - O hotta-, En hóta-, Es ota-; TA otá."
EudeveNorth-10_loosen-1,,EudeveNorth,10_loosen,hóta-,hóta-,h ó/o t a,,Lionnet1985,63,,^h ó t a -$,default,,"63 *hota, ""aflojarse"". - O hotta-, En hóta-, Es ota-; TA otá."
EudeveSouth-10_loosen-1,,EudeveSouth,10_loosen,ota-,ota-,o t a,,Lionnet1985,63,,^o t a -$,default,,"63 *hota, ""aflojarse"". - O hotta-, En hóta-, Es ota-; TA otá."
TarahumaraCentral-10_loosen-1,,TarahumaraCentral,10_loosen,otá.,otá,o t á/a,,Lionnet1985,63,,^o t á$,default,,"63 *hota, ""aflojarse"". - O hotta-, En hóta-, Es ota-; TA otá."
ProtoSonoran-11_crouch-1,,ProtoSonoran,11_crouch,cuku,cuku,ts u k u,,Lionnet1985,46,,^c u k u$,default,,"46 cuku, ""agacharse"". - O cuk, En сú-сuku-, Es сukо-; Va cuhkú, TA сukú."
Opata-11_crouch-1,,Opata,11_crouch,cuk,cuk,ts u k,,Lionnet1985,46,,^c u k$,default,,"46 cuku, ""agacharse"". - O cuk, En сú-сuku-, Es сukо-; Va cuhkú, TA сukú."
EudeveNorth-11_crouch-1,,EudeveNorth,11_crouch,cú-cuku-,cú-cuku-,ts ú/u + ts u k u,,Lionnet1985,46,,^c ú - c u k u -$,default,,"46 cuku, ""agacharse"". - O cuk, En сú-сuku-, Es сukо-; Va cuhkú, TA сukú."
EudeveSouth-11_crouch-1,,EudeveSouth,11_crouch,cuko-,cuko-,ts u k o,,Lionnet1985,46,,^c u k o -$,default,,"46 cuku, ""agacharse"". - O cuk, En сú-сuku-, Es сukо-; Va cuhkú, TA сukú."
WarihioHighland-11_crouch-1,,WarihioHighland,11_crouch,cuhkú,cuhkú,ts u h k ú/u,,Lionnet1985,46,,^c u h k ú$,default,,"46 cuku, ""agacharse"". - O cuk, En сú-сuku-, Es сukо-; Va cuhkú, TA сukú."
TarahumaraCentral-11_crouch-1,,TarahumaraCentral,11_crouch,cukú.,cukú,ts u k ú/u,,Lionnet1985,46,,^c u k ú$,default,,"46 cuku, ""agacharse"". - O cuk, En сú-сuku-, Es сukо-; Va cuhkú, TA сukú."
ProtoSonoran-12_becomeusedupspent-1,,ProtoSonoran,12_becomeusedupspent,*suw-a,*suw-a,s u w + a,,Lionnet1985,266bis,,^*s u w - a$,default,,"266bis *suw-a, ""agotar"". - Еn -sua-_""llevar а саbо""; Y sú'а, МА súgwa_""matar"" (соmрl.рlur.); TA suwá; TR sua-kám_""todos""."
EudeveNorth-12_becomeusedupspent-1,,EudeveNorth,12_becomeusedupspent,-sua-,-sua-,s u/w a,,Lionnet1985,266bis,,^- s ua -$,default,llevar a cabo,"266bis *suw-a, ""agotar"". - Еn -sua-_""llevar а саbо""; Y sú'а, МА súgwa_""matar"" (соmрl.рlur.); TA suwá; TR sua-kám_""todos""."
