ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,ConceptInSource,Entry
ProtoSonoran-1_beeshive-1,,ProtoSonoran,1_beeshive,*mumu,*mumu,m u m u,,Lionnet1985,156,,^* m u m u$,default,,"156 *mumu, ""abejas, panal"". - PI mumuba, Tn mɨmívai, Ts mɨmɨí; О mumugo, En mumúgo, Es mumukut; Y múmu-, MA múmmu-; Vb.Va momohá, TA umugá_""panal dе avispas negras""."
SonoraPimaBajo-1_beeshive-1,,SonoraPimaBajo,1_beeshive,mumuba,mumuba,m u m u b a,,Lionnet1985,156,,^m u m u b a$,default,,"156 *mumu, ""abejas, panal"". - PI mumuba, Tn mɨmívai, Ts mɨmɨí; О mumugo, En mumúgo, Es mumukut; Y múmu-, MA múmmu-; Vb.Va momohá, TA umugá_""panal dе avispas negras""."
TepehuanNorth-1_beeshive-1,,TepehuanNorth,1_beeshive,mɨmívai,mɨmívai,m ɨ m í/i v ai,,Lionnet1985,156,,^m ɨ m í v ai$,default,,"156 *mumu, ""abejas, panal"". - PI mumuba, Tn mɨmívai, Ts mɨmɨí; О mumugo, En mumúgo, Es mumukut; Y múmu-, MA múmmu-; Vb.Va momohá, TA umugá_""panal dе avispas negras""."
TepehuanSouth-1_beeshive-1,,TepehuanSouth,1_beeshive,mɨmɨí,mɨmɨí,m ɨ m ɨ í/i,,Lionnet1985,156,,^m ɨ m ɨí$,default,,"156 *mumu, ""abejas, panal"". - PI mumuba, Tn mɨmívai, Ts mɨmɨí; О mumugo, En mumúgo, Es mumukut; Y múmu-, MA múmmu-; Vb.Va momohá, TA umugá_""panal dе avispas negras""."
Opata-1_beeshive-1,,Opata,1_beeshive,mumugo,mumugo,m u m u g o,,Lionnet1985,156,,^m u m u g o$,default,,"156 *mumu, ""abejas, panal"". - PI mumuba, Tn mɨmívai, Ts mɨmɨí; О mumugo, En mumúgo, Es mumukut; Y múmu-, MA múmmu-; Vb.Va momohá, TA umugá_""panal dе avispas negras""."
EudeveNorth-1_beeshive-1,,EudeveNorth,1_beeshive,mumúgo,mumúgo,m u m ú/u g o,,Lionnet1985,156,,^m u m ú g o$,default,,"156 *mumu, ""abejas, panal"". - PI mumuba, Tn mɨmívai, Ts mɨmɨí; О mumugo, En mumúgo, Es mumukut; Y múmu-, MA múmmu-; Vb.Va momohá, TA umugá_""panal dе avispas negras""."
EudeveSouth-1_beeshive-1,,EudeveSouth,1_beeshive,mumukut,mumukut,m u m u k u t,,Lionnet1985,156,,^m u m u k u t$,default,,"156 *mumu, ""abejas, panal"". - PI mumuba, Tn mɨmívai, Ts mɨmɨí; О mumugo, En mumúgo, Es mumukut; Y múmu-, MA múmmu-; Vb.Va momohá, TA umugá_""panal dе avispas negras""."
Yaqui-1_beeshive-1,,Yaqui,1_beeshive,múmu-,múmu-,m ú/u m u,,Lionnet1985,156,,^m ú m u -$,default,,"156 *mumu, ""abejas, panal"". - PI mumuba, Tn mɨmívai, Ts mɨmɨí; О mumugo, En mumúgo, Es mumukut; Y múmu-, MA múmmu-; Vb.Va momohá, TA umugá_""panal dе avispas negras""."
Mayo-1_beeshive-1,,Mayo,1_beeshive,múmmu-,múmmu-,m ú/u mm/mː u,,Lionnet1985,156,,^m ú mm u -$,default,,"156 *mumu, ""abejas, panal"". - PI mumuba, Tn mɨmívai, Ts mɨmɨí; О mumugo, En mumúgo, Es mumukut; Y múmu-, MA múmmu-; Vb.Va momohá, TA umugá_""panal dе avispas negras""."
WarihioLowland-1_beeshive-1,,WarihioLowland,1_beeshive,momohá,momohá,m o m o h á/a,,Lionnet1985,156,,^m o m o h á$,default,,"156 *mumu, ""abejas, panal"". - PI mumuba, Tn mɨmívai, Ts mɨmɨí; О mumugo, En mumúgo, Es mumukut; Y múmu-, MA múmmu-; Vb.Va momohá, TA umugá_""panal dе avispas negras""."
